"Product ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";"Position"
"241";"";"HORLOGE BOIS DECOUPE FORME OURS";"";"";"8.25";"9.9";"11.0";"";"0"
"242";"";"HORLOGE BOIS DECOUPE FORME CHAT";"";"";"8.25";"9.9";"6.0";"";"0"
"243";"";"BOITE COFFEE METAL BRILLANT";"";"";"7.08";"8.5";"5.0";"";"0"
"244";"";"BOITE TEA METAL BRILLANT";"";"";"7.08";"8.5";"3.0";"";"0"
"245";"";"BOITE SUGAR METAL BRILLANT";"";"";"7.08";"8.5";"4.0";"";"0"
"246";"";"BOITE RONDE COOKIE METAL BRILLANT";"";"";"10.42";"12.5";"4.0";"";"0"
"247";"";"BOITE BONBONS EN METAL GRIS";"";"";"6.75";"8.1";"1.0";"";"0"
"248";"";"BOITE BISCUIT RONDE EN METAL BRILLANT";"";"";"9.92";"11.9";"0.0";"";"0"
"249";"";"BOITE BISCUIT OVALE EN METAL BRILLANT";"";"";"14";"16.8";"0.0";"";"0"
"250";"";"SAC EN PAILLE HELLO SUNSHINE GRIS FOND BLANC";"";"";"10.08";"12.1";"0.0";"";"0"
"251";"";"SAC EN PAILLE HELLO SUNSHINE NATUREL FOND NOIR";"";"";"10.08";"12.1";"0.0";"";"0"
